avUserLoad, createdBlocks,receivedDataBlocks,stuckBlocks,avgTime,Queue time,Transmission time,Propagation time
25,115217,113457,1760,0.045168059509068235,0.19638914256390824,1.5154283100817834,98.28818254748887
26,119725,117958,1767,0.04517051890912683,0.20182957684188016,1.5153393742532935,98.28283104904293
27,124930,123111,1819,0.04517890919616626,0.2203599850882264,1.5150613137995121,98.26457870125536
28,129898,127871,2027,0.04518656701410715,0.23725175445131558,1.5148225522537853,98.24792569344423
29,134067,132067,2000,0.04520059083566725,0.2682346984573534,1.5143217624208243,98.217443539277
30,138761,136744,2017,0.04522192443342027,0.31525365664010757,1.513637219657941,98.17110912385915
31,143716,141592,2124,0.04527244058678337,0.42652003491729956,1.5119126893578732,98.06156727588619
32,148272,146039,2233,0.04543892489051405,0.791333773605396,1.5063880797583322,97.70227814680524
33,152356,150074,2282,0.04648244830201888,3.0185688815349105,1.4725532406989095,95.5088778779371
34,157594,152800,4794,0.06717925097488966,32.89685299555884,1.018955622246967,66.08419138230467
35,162531,154310,8221,0.09852489392084868,54.24564639605387,0.694812794860957,45.05954080915554
36,166627,156010,10617,0.1167254159815136,61.37990225953827,0.5865089028747736,38.033588837648914
